Sol,logS,logP,MP,InChI
-3.932222525832845,-5.5070000000000014,4.88,41.0,"InChI=1S/C8H8Cl3O3PS/c1-12-15(16,13-2)14-8-4-6(10)5(9)3-7(8)11/h3-4H,1-2H3"
0.010029889547084413,-1.6369999999999998,1.98,-90.0,"InChI=1S/C5H8/c1-3-5-4-2/h1H,4-5H2,2H3"
-2.4822062517858243,-1.8769999999999998,2.3,-70.8,"InChI=1S/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3"
-9.370744624131495,-5.037,3.2,209.5,InChI=1S/C8H2Cl4O2/c9-4-2-1-14-8(13)3(2)5(10)7(12)6(4)11/h1H2
-3.52,-5.7196,4.75,104.5,InChI=1S/C12H7ClO2/c13-8-4-3-7-11-12(8)15-10-6-2-1-5-9(10)14-11/h1-7H
-1.8129535452164212,-1.4589666666666667,1.77,-85.0,InChI=1S/C2H6S2/c1-3-4-2/h1-2H3
-0.4784770063718271,-2.0,2.21,-69.0,InChI=1S/C6H4F2/c7-5-2-1-3-6(8)4-5/h1-4H
-5.033166053608347,-5.47,4.9300000000000015,60.0,"InChI=1S/C14H21N3O4/c1-6-9(2)15-13-11(16(18)19)7-10(14(3,4)5)8-12(13)17(20)21/h7-9,15H,6H2,1-5H3"
-3.3522259460676915,-0.774,0.87,-108.0,"InChI=1S/C3H7NO2/c1-2-3-4(5)6/h2-3H2,1H3"
-7.39958852689445,-1.8030000000000002,1.7,76.5,"InChI=1S/C9H11NO2/c1-7-4-3-5-8(6-7)12-9(11)10-2/h3-6H,1-2H3,(H,10,11)"
-7.404900514718679,-1.406,1.84,107.0,"InChI=1S/C9H10O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,10,11)"
-6.311584456639506,-2.313,2.42,-40.5,"InChI=1S/C12H14O4/c1-3-15-11(13)9-7-5-6-8-10(9)12(14)16-4-2/h5-8H,3-4H2,1-2H3"
-3.5217012103911296,-6.956,5.0,209.0,"InChI=1S/C15H12/c1-11-6-7-14-9-12-4-2-3-5-13(12)10-15(14)8-11/h2-10H,1H3"
-5.543155687436143,-0.81,1.32,-16.3,"InChI=1S/C7H9N/c1-6-4-2-3-5-7(6)8/h2-5H,8H2,1H3"
-11.272300060389545,-2.506,2.11,158.0,"InChI=1S/C9H13BrN2O2/c1-4-5(2)12-8(13)7(10)6(3)11-9(12)14/h5H,4H2,1-3H3,(H,11,14)"
-6.788846131924099,-3.747,1.7,130.0,"InChI=1S/C11H13NO4/c1-11(2)15-8-6-4-5-7(9(8)16-11)14-10(13)12-3/h4-6H,1-3H3,(H,12,13)"
-7.5333235574325395,-0.7480293677,0.95,57.2,"InChI=1S/C7H9NO/c1-9-7-4-2-6(8)3-5-7/h2-5H,8H2,1H3"
-7.924249478149086,-4.402,3.21,178.0,"InChI=1S/C9H16ClN5/c1-5-11-7-12-6(10)13-8(14-7)15-9(2,3)4/h5H2,1-4H3,(H2,11,12,13,14,15)"
-6.72,-0.2636316857,-0.47,-22.5,"InChI=1S/C4H5NO2/c1-7-4(6)2-3-5/h2H2,1H3"
-0.8522600191022991,-1.291,1.79,-96.9375,"InChI=1S/C2H4Cl2/c1-2(3)4/h2H,1H3"
-10.93251176093398,-0.953,0.64,129.1,"InChI=1S/C7H7NO/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H2,8,9)"
-5.654118901423296,-1.35,1.16,-22.3,InChI=1S/C2H4N2O6/c5-3(6)9-1-2-10-4(7)8/h1-2H2
-9.4,-4.2299999985,-0.66,81.3,"InChI=1S/C3H7NO/c1-2-3(4)5/h2H2,1H3,(H2,4,5)"
-1.831944263022224,-5.553,4.96,91.5,InChI=1S/C12H9Br/c13-12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9H
-7.27700419248916,0.79,0.39,-45.0,"InChI=1S/C8H18O3/c1-3-9-5-7-11-8-6-10-4-2/h3-8H2,1-2H3"
-4.5454646535165635,0.059000000000000004,0.76,-108.0,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3"
-2.7659667572535587,-1.249,1.78,-56.0,"InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3"
-2.612125449103886,-5.096,4.38,99.5,InChI=1S/C6HCl4NO2/c7-2-1-3(8)5(10)6(4(2)9)11(12)13/h1H
