SMILES,InChI,HL,Sol,RB,MW
CCc1cccc[n]1,"InChI=1S/C7H9N/c1-2-7-5-3-4-6-8-7/h3-6H,2H2,1H3",1.65E-05,-4.319948812,1,107.0734993
O=NN1CCCCC1,InChI=1S/C5H10N2O/c8-6-7-4-2-1-3-5-7/h1-5H2,8.44E-07,-6.078862598,1,114.0793129
Oc1cc(C=O)ccc1,"InChI=1S/C7H6O2/c8-5-6-2-1-3-7(9)4-6/h1-5,9H",2.50E-09,-9.523289032,1,122.0367794
CCCCC(COC(=O)CCCCC(=O)OCC(CCCC)CC)CC,"InChI=1S/C22H42O4/c1-5-9-13-19(7-3)17-25-21(23)15-11-12-16-22(24)26-18-20(8-4)14-10-6-2/h19-20H,5-18H2,1-4H3",4.34E-07,-6.472364803,17,370.3083098
CCCc1ccccc1,"InChI=1S/C9H12/c1-2-6-9-7-4-3-5-8-9/h3-5,7-8H,2,6H2,1H3",0.0105,-0.500478979,2,120.0939004
CCNc1ccccc1,"InChI=1S/C8H11N/c1-2-9-8-6-4-3-5-7-8/h3-7,9H,2H2,1H3",9.78E-06,-4.629387111,2,121.0891494
COc1ccc(N)cc1,"InChI=1S/C7H9NO/c1-9-7-4-2-6(8)3-5-7/h2-5H,8H2,1H3",6.60E-08,-7.586647115,1,123.0684139
Cc1cc(C)c(O)cc1,"InChI=1S/C8H10O/c1-6-3-4-8(9)7(2)5-6/h3-5,9H,1-2H3",9.51E-07,-6.008243927,0,122.0731649
CCCCCCC(=O)OCC,"InChI=1S/C9H18O2/c1-3-5-6-7-8-9(10)11-4-2/h3-8H2,1-2H3",0.000499,-2.302914306,6,158.1306798
Cc1ccc(Br)cc1,"InChI=1S/C7H7Br/c1-6-2-4-7(8)5-3-6/h2-5H,1H3",0.00233,-1.391191999,0,169.9731123
Oc1ccc(Br)cc1,"InChI=1S/C6H5BrO/c7-5-1-3-6(8)4-2-5/h1-4,8H",1.51E-07,-7.096993827,0,171.9523769
